drug,adverse_event,case_count_a,drug_total_reports,event_total_reports,PRR,ROR,ROR_95CI_low,ROR_95CI_high,chi_square,p_value,signal_detected
PREDNISONE,VOMITING,5,35,25,1.179,1.208,0.42,3.473,0.005,0.943925,False
IBUPROFEN,HEPATIC FAILURE,5,19,46,1.162,1.22,0.415,3.587,0.006,0.940616,False
LISINOPRIL,DIZZINESS,5,33,27,1.15,1.177,0.411,3.37,0.001,0.979986,False
OMEPRAZOLE,DYSPNOEA,6,37,29,1.149,1.178,0.443,3.136,0.005,0.944336,False
AMOXICILLIN,HEADACHE,5,27,33,1.144,1.177,0.411,3.37,0.001,0.979986,False
LISINOPRIL,HEADACHE,6,33,33,1.125,1.152,0.434,3.057,0.001,0.97748,False
WARFARIN,DYSPNOEA,6,38,29,1.112,1.133,0.426,3.011,0.0,1.0,False
WARFARIN,FATIGUE,7,38,34,1.105,1.129,0.451,2.829,0.0,0.984686,False
OMEPRAZOLE,VOMITING,5,37,25,1.101,1.117,0.39,3.2,0.0,1.0,False
CLOPIDOGREL,RASH,4,25,30,1.077,1.092,0.346,3.439,0.0,1.0,False
LISINOPRIL,ANAPHYLACTIC REACTION,7,33,40,1.073,1.093,0.437,2.736,0.0,1.0,False
PREDNISONE,DIZZINESS,5,35,27,1.071,1.083,0.38,3.089,0.0,1.0,False
METFORMIN,RHABDOMYOLYSIS,5,23,41,1.069,1.088,0.378,3.129,0.0,1.0,False
WARFARIN,RASH,6,38,30,1.066,1.078,0.407,2.855,0.0,1.0,False
LISINOPRIL,RHABDOMYOLYSIS,7,33,41,1.042,1.053,0.422,2.631,0.0,1.0,False
SIMVASTATIN,ANAPHYLACTIC REACTION,6,29,40,1.041,1.051,0.397,2.783,0.0,1.0,False
WARFARIN,HEPATIC FAILURE,9,38,46,1.037,1.048,0.456,2.412,0.0,1.0,False
CLOPIDOGREL,ANAPHYLACTIC REACTION,5,25,40,1.0,1.0,0.351,2.851,0.0,1.0,False
AMOXICILLIN,GASTROINTESTINAL HAEMORRHAGE,6,27,45,0.986,0.982,0.37,2.602,0.0,1.0,False
PREDNISONE,ANGIOEDEMA,5,35,29,0.982,0.979,0.346,2.773,0.0,1.0,False
OMEPRAZOLE,HEADACHE,6,37,33,0.979,0.975,0.371,2.564,0.0,1.0,False
LISINOPRIL,GASTROINTESTINAL HAEMORRHAGE,7,33,45,0.932,0.914,0.368,2.27,0.0,1.0,False
ATORVASTATIN,MYALGIA,4,39,22,0.917,0.908,0.289,2.852,0.0,1.0,False
SIMVASTATIN,RASH,4,29,30,0.907,0.892,0.287,2.776,0.0,1.0,False
WARFARIN,ANAPHYLACTIC REACTION,7,38,40,0.904,0.883,0.357,2.182,0.002,0.964058,False
AMOXICILLIN,RHABDOMYOLYSIS,5,27,41,0.89,0.865,0.306,2.442,0.0,0.985687,False
METFORMIN,ANGIOEDEMA,3,23,29,0.888,0.871,0.242,3.142,0.0,1.0,False
LISINOPRIL,FATIGUE,5,33,34,0.873,0.85,0.303,2.386,0.003,0.955512,False
ATORVASTATIN,ANGIOEDEMA,5,39,29,0.86,0.839,0.298,2.361,0.006,0.937378,False
PREDNISONE,PRURITUS,3,35,20,0.832,0.816,0.226,2.952,0.0,1.0,False
ATORVASTATIN,RASH,5,39,30,0.826,0.8,0.285,2.243,0.031,0.861129,False
LISINOPRIL,ANGIOEDEMA,4,33,29,0.81,0.783,0.253,2.422,0.024,0.877454,False
AMOXICILLIN,DIZZINESS,3,27,27,0.801,0.776,0.217,2.778,0.008,0.930034,False
ATORVASTATIN,VOMITING,4,39,25,0.786,0.762,0.246,2.362,0.041,0.839629,False
AMOXICILLIN,HEPATIC FAILURE,5,27,46,0.781,0.732,0.261,2.054,0.122,0.727009,False
LISINOPRIL,RASH,4,33,30,0.779,0.748,0.243,2.306,0.058,0.810268,False
OMEPRAZOLE,ANAPHYLACTIC REACTION,6,37,40,0.777,0.734,0.283,1.903,0.168,0.682,False
METFORMIN,GASTROINTESTINAL HAEMORRHAGE,4,23,45,0.751,0.698,0.225,2.169,0.128,0.720132,False
AMOXICILLIN,DYSPNOEA,3,27,29,0.739,0.707,0.198,2.518,0.059,0.807317,False
SIMVASTATIN,DIZZINESS,3,29,27,0.737,0.707,0.198,2.518,0.059,0.807317,False
ATORVASTATIN,ANAPHYLACTIC REACTION,6,39,40,0.729,0.679,0.263,1.754,0.336,0.561892,False
ATORVASTATIN,PRURITUS,3,39,20,0.729,0.706,0.196,2.54,0.057,0.81191,False
SIMVASTATIN,HEPATIC FAILURE,5,29,46,0.719,0.661,0.237,1.842,0.312,0.576616,False
OMEPRAZOLE,MYALGIA,3,37,22,0.696,0.669,0.187,2.39,0.11,0.740082,False
OMEPRAZOLE,RASH,4,37,30,0.678,0.639,0.209,1.956,0.287,0.592308,False
PREDNISONE,ANAPHYLACTIC REACTION,5,35,40,0.673,0.619,0.224,1.713,0.487,0.485263,False
ATORVASTATIN,GASTROINTESTINAL HAEMORRHAGE,6,39,45,0.635,0.569,0.222,1.458,0.945,0.330892,False
LISINOPRIL,NAUSEA,3,33,27,0.633,0.596,0.168,2.107,0.283,0.594457,False
LISINOPRIL,HEPATIC FAILURE,5,33,46,0.617,0.549,0.199,1.514,0.895,0.344098,False
WARFARIN,RHABDOMYOLYSIS,5,38,41,0.592,0.53,0.193,1.457,1.045,0.30657,False
SIMVASTATIN,HEADACHE,3,29,33,0.59,0.542,0.154,1.909,0.483,0.486904,False
PREDNISONE,GASTROINTESTINAL HAEMORRHAGE,5,35,45,0.589,0.521,0.189,1.432,1.12,0.289861,False
OMEPRAZOLE,FATIGUE,4,37,34,0.587,0.537,0.177,1.632,0.753,0.385515,False
ATORVASTATIN,RHABDOMYOLYSIS,5,39,41,0.573,0.511,0.186,1.401,1.217,0.270022,False
ATORVASTATIN,HEADACHE,4,39,33,0.569,0.52,0.171,1.578,0.866,0.352169,False
OMEPRAZOLE,GASTROINTESTINAL HAEMORRHAGE,5,37,45,0.551,0.48,0.175,1.316,1.518,0.217964,False
OMEPRAZOLE,NAUSEA,3,37,27,0.551,0.511,0.145,1.797,0.635,0.425634,False
OMEPRAZOLE,HEPATIC FAILURE,5,37,46,0.537,0.465,0.17,1.272,1.697,0.192746,False
METFORMIN,HEPATIC FAILURE,3,23,46,0.537,0.467,0.132,1.65,0.889,0.345796,False
WARFARIN,NAUSEA,3,38,27,0.533,0.493,0.14,1.731,0.739,0.38992,False
PREDNISONE,RHABDOMYOLYSIS,4,35,41,0.51,0.446,0.148,1.346,1.521,0.217534,False
